Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Second,Literate,Intermediate,No,No,2,3,3,3,2,3,3,4,3,3,2,2,3,2,3,3,2,2,2,3,2,2,3,4,2,3,2,3,3,2,2,2,2,4,3,3,3,2,2,2,4,2,2,2,3,2,3,3,3,3,3,3,3,2,2,2,2,4,3,2,2,2,4,2,3,2,44,41,29,26,32,172
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Second,Above Graduation,Above Graduation,No,No,5,3,4,5,3,5,4,5,4,4,4,4,4,3,3,4,5,5,5,5,3,2,3,2,1,5,4,4,4,2,2,4,4,5,5,1,1,4,2,5,5,1,4,5,2,1,2,2,2,5,5,2,3,2,2,5,2,4,5,4,1,1,2,1,1,2,64,60,38,24,32,218
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Distance mode,Science,Arts,Second,Intermediate,Intermediate,No,No,1,2,3,2,2,3,4,4,5,3,2,1,4,3,3,1,2,3,2,2,1,1,1,4,1,3,1,4,2,2,2,3,3,2,5,5,3,2,3,4,5,4,4,3,2,3,4,4,4,2,3,3,2,3,3,3,4,4,3,4,2,5,2,4,3,4,43,37,40,27,44,191
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Forth,Intermediate,Graduate,No,No,3,2,4,5,3,3,2,3,4,4,3,3,2,4,3,2,5,2,2,3,5,2,3,2,1,3,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,3,3,1,3,1,3,3,2,2,4,2,2,4,2,2,2,2,1,1,50,43,16,19,29,157
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Forth,Intermediate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,32,34,22,18,30,136
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Intermediate,Graduate,No,No,4,4,3,3,5,3,4,2,2,2,2,2,2,4,3,4,5,3,3,2,2,2,2,3,2,3,3,3,4,4,3,3,4,3,3,4,3,3,3,3,3,3,4,4,5,3,3,5,3,4,4,4,4,3,4,2,3,3,3,3,3,3,3,2,2,2,49,51,36,35,36,207
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Second,Above Graduation,Above Graduation,No,No,3,1,2,3,2,4,3,3,3,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,34,22,18,26,142
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Second,Graduate,Intermediate,No,No,3,4,3,4,4,4,3,4,3,4,4,2,2,2,4,4,4,2,2,3,3,2,2,2,2,2,2,3,2,2,3,4,2,3,2,2,4,3,2,4,2,4,4,4,2,2,2,2,2,3,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,54,42,34,21,28,179
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Sixth,Intermediate,Graduate,No,No,3,3,4,3,3,2,3,2,4,4,3,3,3,3,3,4,4,3,3,3,4,3,3,3,2,3,3,4,3,3,4,3,3,3,3,2,4,3,3,2,3,4,3,3,3,4,2,4,4,3,3,4,3,2,4,2,1,3,1,2,2,1,2,2,2,2,50,54,33,30,26,193
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,BSC in Yogic Science ,BSC in Yogic Science ,Sixth,Intermediate,Literate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,2,2,3,4,4,1,1,2,1,4,5,2,2,3,3,2,2,4,4,4,3,2,3,2,3,3,3,3,2,3,3,3,3,2,2,3,4,48,52,28,26,37,191
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Literate,Intermediate,No,No,4,2,4,4,1,3,3,4,4,3,2,2,2,4,3,4,4,4,4,3,4,3,4,4,2,5,3,1,1,3,2,4,2,4,5,3,2,3,3,4,2,1,3,4,4,4,3,3,4,2,5,2,4,1,4,2,5,4,4,3,2,3,1,2,4,2,49,53,34,31,37,204
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Forth,Above Graduation,Above Graduation,No,No,2,4,2,2,2,2,2,2,4,2,1,1,2,2,2,2,3,2,2,3,3,2,4,3,1,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,2,2,4,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,4,34,38,16,20,18,126
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Computer Science,Forth,Literate,Intermediate,No,No,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,39,22,18,26,139
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,MA in yogic science,Second,Graduate,Graduate,No,No,3,3,2,3,2,4,3,2,3,3,2,2,2,3,3,2,2,3,2,3,2,3,2,3,3,2,3,3,2,2,2,2,2,3,4,2,2,2,2,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,3,2,3,2,2,2,2,2,2,42,41,29,19,27,158
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Commerce,Not Applicable,Forth,Graduate,Above Graduation,No,No,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,5,5,5,5,3,3,3,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,2,4,4,4,2,2,4,2,2,2,67,74,46,43,42,272
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Forth,Graduate,Literate,No,No,1,1,2,2,1,1,1,1,1,3,1,1,2,1,3,1,4,1,1,1,5,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,23,28,11,9,17,88
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Forth,Literate,Intermediate,No,No,4,2,4,4,3,5,4,3,5,3,3,1,3,4,3,5,3,5,2,5,4,4,4,3,2,4,3,4,4,5,5,4,4,1,4,2,4,2,4,3,4,4,4,5,3,4,2,3,3,4,4,2,5,2,4,3,2,4,5,3,4,2,4,5,4,4,56,65,37,30,46,234
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Antyodaya,University,Government,Regular mode,Arts,Yoga,Forth,Literate,Literate,No,No,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,3,4,2,2,4,2,1,2,1,2,2,3,2,2,2,2,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,4,2,4,2,2,4,29,37,18,19,34,137
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Arts,Science,Second,Intermediate,Intermediate,No,No,4,5,5,5,5,4,5,2,2,4,2,4,4,5,4,5,4,2,2,5,2,2,4,4,2,2,2,4,2,4,4,4,2,4,2,4,2,2,2,4,2,2,2,4,4,2,2,4,2,2,4,4,2,2,2,4,4,4,4,2,2,2,2,2,2,2,65,51,30,26,34,206
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Literate,Intermediate,No,No,3,2,4,3,4,4,3,4,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,54,61,42,36,51,244
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Not Applicable,Not Applicable,Sixth,Graduate,Above Graduation,No,No,3,4,4,5,5,4,3,2,3,2,4,3,4,4,4,3,5,3,2,4,4,3,3,3,2,3,3,3,3,3,4,3,3,3,4,2,1,2,1,1,1,1,1,2,3,5,1,2,1,2,2,4,5,2,1,2,1,2,1,2,1,1,1,1,1,1,57,54,19,25,17,172
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Private,Regular mode,Arts,Arts,Forth,Intermediate,Graduate,No,No,4,3,2,4,3,4,3,2,3,3,2,3,3,1,3,4,4,3,1,4,4,1,4,3,4,1,3,3,3,4,3,2,4,4,3,4,5,4,3,3,4,4,4,4,4,3,3,3,4,3,2,2,1,1,4,1,4,4,4,1,1,1,1,2,1,4,47,51,42,25,29,194
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Sixth,Above Graduation,Above Graduation,No,No,3,2,4,5,2,3,2,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,53,51,33,27,38,202
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Not Applicable,Not Applicable,Sixth,Literate,Intermediate,No,No,4,2,4,2,2,4,2,4,2,4,2,2,4,2,2,2,4,2,4,4,2,2,4,4,2,4,2,4,4,3,2,3,3,3,4,2,4,3,2,2,2,3,2,3,3,2,4,4,4,2,4,2,3,2,3,3,2,4,4,2,2,4,4,3,2,3,44,53,30,28,38,193
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Literate,Graduate,No,No,4,3,5,3,5,4,3,5,3,3,3,4,3,3,4,4,4,2,4,4,5,2,3,3,4,4,2,3,2,4,3,2,4,4,5,4,4,4,3,2,5,4,3,5,4,4,2,4,4,4,4,4,4,4,4,2,2,4,4,2,2,4,2,4,4,2,59,55,43,34,40,231
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Literate,Graduate,No,No,4,2,5,1,2,4,2,1,4,4,2,2,4,4,3,3,4,5,4,3,2,3,4,4,2,2,2,4,2,3,2,3,2,4,5,3,4,2,2,4,3,3,4,4,2,2,3,3,2,4,4,3,2,2,2,2,2,2,4,2,2,2,2,4,2,2,47,51,38,25,30,191
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Literate,Graduate,No,No,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,5,3,3,3,4,3,4,3,2,3,2,2,58,39,24,24,40,185
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Forth,Literate,Intermediate,No,No,2,2,3,1,1,4,2,2,4,2,2,2,2,2,2,3,2,3,2,2,3,4,4,2,4,3,2,2,4,2,2,3,4,4,2,2,2,2,2,3,2,2,3,2,3,2,4,4,3,4,2,2,2,3,3,2,4,4,4,3,3,3,2,3,2,2,36,48,26,26,38,174
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Science,Science,Second,Intermediate,Graduate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,33,32,24,18,29,136
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Sixth,Intermediate,Intermediate,No,No,3,4,4,4,4,4,2,3,4,2,2,2,2,3,3,2,5,4,3,2,4,2,2,2,3,2,3,4,2,2,2,4,4,4,4,4,2,2,2,2,2,2,3,4,3,4,2,2,2,2,2,2,4,2,2,4,2,2,4,2,2,2,4,2,2,4,48,50,31,23,34,186
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Second,Literate,Graduate,No,No,5,5,5,5,3,5,3,4,5,3,2,3,4,3,4,4,5,5,5,2,3,2,3,3,1,3,3,3,3,3,3,3,2,4,4,4,5,4,1,3,5,1,3,5,3,3,3,3,3,3,2,3,3,4,4,3,3,3,4,3,1,2,3,3,3,2,63,52,39,26,38,218
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,2,3,2,3,3,3,2,3,2,2,2,3,3,3,4,3,4,2,2,4,4,2,2,2,2,3,3,3,2,4,2,3,3,3,2,2,4,3,3,2,2,4,2,2,4,4,4,4,3,2,2,2,4,3,3,2,3,4,3,2,2,2,2,2,2,2,43,47,29,29,32,180
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Second,Graduate,Above Graduation,No,No,2,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,65,68,44,34,51,262
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Science,Arts,Second,Literate,Graduate,No,No,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,2,4,4,3,3,3,3,4,3,4,3,2,3,4,4,51,62,42,36,43,234
Between 18 to 25,Male,Urban,Unmarried,General,Antyodaya,College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,4,4,2,4,4,3,3,4,3,3,3,4,5,4,4,4,4,4,3,3,2,1,3,2,4,2,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,3,2,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,58,46,16,31,49,200
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Not Applicable,Second,Literate,Graduate,No,No,3,1,3,2,3,4,3,3,4,3,3,5,4,4,4,3,4,5,5,3,4,5,4,5,2,4,3,3,2,3,3,3,2,5,5,4,2,2,2,2,2,1,2,3,3,2,4,4,3,4,2,3,5,4,2,1,3,2,4,2,3,2,2,4,4,2,52,60,30,30,35,207
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Second,Above Graduation,Above Graduation,No,No,3,2,3,4,2,3,2,3,3,4,3,3,2,3,2,3,4,4,2,4,3,2,2,3,2,4,3,2,3,4,2,2,2,3,4,4,4,3,3,2,4,3,3,4,3,4,3,3,4,4,3,3,3,1,1,1,1,1,1,4,1,1,1,1,1,1,45,48,37,30,16,176
Between 18 to 25,Male,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Intermediate,Graduate,No,No,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,34,22,18,26,133
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Second,Above Graduation,Above Graduation,No,No,1,3,2,2,1,3,2,2,2,3,2,2,2,3,2,3,4,1,3,3,3,2,3,3,2,3,3,2,2,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,35,47,23,18,21,144
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Not Applicable,Second,Graduate,Graduate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,34,22,18,26,132
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Second,Literate,Literate,No,No,4,3,3,3,4,3,4,4,4,5,2,2,3,3,2,3,4,4,1,3,3,1,3,1,3,3,3,3,4,3,3,3,2,4,4,4,5,3,4,3,3,4,4,4,5,3,2,4,3,4,4,4,3,4,5,2,4,4,4,3,3,4,2,2,2,3,52,47,42,32,42,215
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Intermediate,Intermediate,No,No,2,4,2,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59,68,44,36,52,259
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Second,Intermediate,Intermediate,No,No,4,3,4,3,4,5,4,4,4,2,2,2,4,3,4,2,5,4,3,5,4,2,3,4,2,5,3,2,4,2,2,1,3,4,5,4,4,3,4,5,4,2,4,4,4,4,4,3,4,4,3,3,5,4,4,4,2,2,1,3,2,1,4,2,1,3,54,54,43,34,33,218
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Second,Above Graduation,Graduate,No,No,2,2,3,3,4,2,5,3,5,3,1,3,4,4,4,1,5,3,3,3,3,1,4,3,2,5,3,4,2,4,3,2,2,2,3,3,3,2,2,4,4,3,5,3,5,4,4,5,4,4,2,3,5,3,5,4,4,4,4,5,5,3,4,2,1,1,49,52,34,36,45,216
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,3,2,3,5,2,3,3,3,4,3,4,4,3,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,2,3,4,4,4,4,4,4,4,3,2,4,2,4,4,3,4,4,4,2,4,4,4,3,3,5,2,5,3,3,4,4,5,3,3,3,2,52,62,39,32,45,230
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,First,Intermediate,Intermediate,No,No,3,3,4,4,4,4,3,2,2,3,4,2,3,2,3,3,4,4,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,2,4,3,3,2,2,3,4,3,2,2,3,3,3,3,2,4,3,4,3,3,3,4,3,4,3,4,4,2,3,2,2,4,49,48,30,28,41,196
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Sixth,Intermediate,Intermediate,No,No,4,2,5,2,2,3,3,3,4,3,2,3,3,2,3,3,3,4,3,3,2,2,2,3,1,2,2,2,2,3,2,2,2,4,3,3,3,3,2,1,3,4,3,3,2,2,2,2,3,3,3,4,3,3,4,3,3,3,4,4,3,3,3,4,2,2,47,40,32,24,41,184
Between 18 to 25,Male,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Private,Regular mode,Arts,Not Applicable,Second,Literate,Graduate,No,No,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18,17,11,9,14,69
Between 18 to 25,Female,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,3,3,2,2,2,3,3,2,3,2,2,2,3,2,3,4,2,4,4,2,2,4,2,4,2,3,2,2,2,2,2,4,2,4,3,2,3,2,2,2,3,3,4,4,4,4,4,4,4,2,2,2,3,2,2,2,4,2,2,2,3,4,3,5,4,3,41,45,32,29,38,185
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,5,2,4,4,3,4,5,4,5,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,2,3,5,5,5,2,3,4,4,4,4,4,4,4,5,5,4,5,4,5,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,3,3,3,5,65,68,47,40,53,273
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Second,Literate,Above Graduation,No,No,3,2,3,4,2,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,4,4,4,2,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,2,4,2,4,4,4,3,2,4,2,4,4,2,45,52,42,29,41,209
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Second,Graduate,Graduate,No,No,2,2,3,3,3,3,2,3,3,1,2,3,3,3,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,3,3,41,54,33,27,38,193
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,Second,Literate,Intermediate,No,No,1,1,3,1,2,2,2,2,2,2,1,2,3,2,2,2,4,2,2,3,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,4,4,4,4,5,4,3,3,4,4,3,4,4,4,4,3,3,2,4,3,3,4,2,3,4,3,3,4,3,2,30,55,41,33,40,199
Between 18 to 25,Male,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Not Applicable,First,Intermediate,Graduate,No,No,3,2,2,3,2,4,2,1,4,4,2,2,5,5,3,4,1,3,4,3,5,2,3,5,4,3,4,4,2,4,3,4,4,1,2,3,1,3,2,3,5,3,3,2,3,2,5,2,1,3,1,2,2,5,4,4,2,2,2,1,2,1,2,2,1,3,48,58,28,21,31,186
